band,paradigm,good_lemma,bad_lemma,bad_active_class,n_frames,good_lemma_zipf,bad_lemma_zipf,mean_lemma_zipf,mean_form_zipf,mean_margin,accuracy,verb_margin,suffix_margin,by_margin,good_verb_tokens,bad_verb_tokens
tail,passive_1,audit,interact,released_inventory,2,4.04,4.05,4.045,3.12,14.751344006508589,1.0,4.5749240927398205,10.176419913768768,5.317363917827606,2,2
tail,passive_1,awe,glow,released_inventory,2,3.8,3.91,3.855,2.63,13.097552314400673,1.0,10.306978315114975,2.790573999285698,1.3610214591026306,2,2
tail,passive_1,blurt,stagnate,released_inventory,2,2.48,2.49,2.4850000000000003,2.635,8.815699783503078,1.0,6.2947560822358355,2.5209437012672424,-1.4923523664474487,3,2
tail,passive_1,bribe,correspond,released_inventory,2,3.5,3.5,3.5,3.045,12.227982252137735,1.0,7.857487213099375,4.37049503903836,0.7582239508628845,2,1
tail,passive_1,christen,dwindle,released_inventory,2,2.63,2.61,2.62,2.92,14.705261321156286,1.0,9.092287392704748,5.612973928451538,1.1833914518356323,2,3
tail,passive_1,coerce,emigrate,released_inventory,2,2.86,2.89,2.875,3.115,16.615692943392787,1.0,6.207747697888408,10.40794524550438,3.6902068853378296,3,2
tail,passive_1,commemorate,brag,released_inventory,2,3.49,3.49,3.49,2.92,8.989629639312625,1.0,7.863067282363772,1.1265623569488525,2.2871758341789246,2,2
tail,passive_1,deter,flirt,released_inventory,2,3.48,3.52,3.5,2.87,10.254956215620041,1.0,7.814336270093918,2.440619945526123,3.2498241662979126,2,3
tail,passive_1,dice,cooperate,released_inventory,2,3.76,3.79,3.775,3.06,8.354974925518036,1.0,10.52764505147934,-2.1726701259613037,-4.12104731798172,1,2
tail,passive_1,dope,bargain,released_inventory,2,3.9,3.95,3.925,2.895,10.381004512310028,1.0,6.185184717178345,4.195819795131683,0.8036332130432129,1,2
tail,passive_1,duck,dawn,released_inventory,2,4.21,4.27,4.24,3.0199999999999996,2.834762755781412,1.0,0.731398943811655,2.103363811969757,1.1050612926483154,2,2
tail,passive_1,eschew,languish,released_inventory,2,2.57,2.55,2.5599999999999996,2.505,7.811424938030541,1.0,4.961358574219048,2.850066363811493,2.061760663986206,3,3
tail,passive_1,evade,inquire,released_inventory,2,3.39,3.38,3.385,2.9400000000000004,-0.96083003282547,0.5,-1.679401159286499,0.718571126461029,1.1835963726043701,2,1
tail,passive_1,exert,slump,released_inventory,2,3.36,3.36,3.36,3.0599999999999996,14.273361057043076,1.0,10.85685133934021,3.4165097177028656,2.188814401626587,1,2
tail,passive_1,fleece,vie,released_inventory,2,3.36,3.35,3.355,2.43,10.105457547586411,1.0,3.2092957529239357,6.896161794662476,3.008776843547821,2,2
tail,passive_1,forest,function,released_inventory,2,4.7,4.78,4.74,3.05,1.5253761876374483,1.0,4.1793431509286165,-2.653966963291168,-0.3065459728240967,2,2
tail,passive_1,gag,blossom,released_inventory,2,3.63,3.62,3.625,2.9,11.360589940100908,1.0,9.949816484004259,1.4107734560966492,-1.7139713168144226,2,2
tail,passive_1,galvanize,transpire,released_inventory,2,2.31,2.36,2.335,3.04,14.20065363519825,1.0,11.022296451264992,3.178357183933258,2.2771524488925934,3,2
tail,passive_1,garnish,toil,released_inventory,2,3.04,3.03,3.035,2.625,8.528297948185354,1.0,9.315557348076254,-0.7872593998908997,-0.5159927606582642,2,2
tail,passive_1,heap,grin,released_inventory,2,3.59,3.59,3.59,2.87,7.230928707867861,1.0,9.044682629406452,-1.8137539215385914,-1.4447689056396484,2,1
tail,passive_1,imitate,linger,released_inventory,2,3.29,3.31,3.3,2.91,5.13605035841465,1.0,3.2545386999845505,1.8815116584300995,1.1253248155117035,2,2
tail,passive_1,ingest,conspire,released_inventory,2,2.83,2.81,2.8200000000000003,3.11,12.389463246800005,1.0,6.989638329483569,5.399824917316437,0.2531700134277344,2,2
tail,passive_1,nab,retaliate,released_inventory,2,3.12,3.1,3.1100000000000003,2.795,7.657604561478365,1.0,6.853990898758639,0.8036136627197266,1.0523359179496765,3,2
tail,passive_1,orphan,adhere,released_inventory,2,3.58,3.57,3.575,3.145,16.4040833725594,1.0,5.232866348233074,11.171217024326324,1.933255910873413,2,1
tail,passive_1,outdo,recede,released_inventory,2,2.72,2.71,2.715,2.79,12.477216196915833,1.0,6.490892291069031,5.9863239058468025,2.3106991946697235,2,3
tail,passive_1,overestimate,diverge,released_inventory,2,2.83,2.83,2.83,2.76,9.94087509252131,1.0,8.144455889239907,1.7964192032814026,1.1108472347259521,2,2
tail,passive_1,perfume,reel,released_inventory,2,3.75,3.68,3.715,2.625,16.520144973881543,1.0,5.8392396019771695,10.680905371904373,4.00740647315979,2,2
tail,passive_1,preclude,fluctuate,released_inventory,2,3.03,2.99,3.01,2.6950000000000003,12.817087352275848,1.0,8.020718336105347,4.796369016170502,2.0833730697631836,1,2
tail,passive_1,quarry,rave,released_inventory,2,3.6,3.52,3.56,2.495,7.029932061210275,1.0,7.708595333620906,-0.6786632724106312,0.162819504737854,2,2
tail,passive_1,quell,sympathize,released_inventory,2,3.0,3.06,3.0300000000000002,2.46,9.594092153012753,1.0,8.414307974278927,1.1797841787338257,1.3424943685531616,2,2
tail,passive_1,rear,sin,released_inventory,2,4.43,4.37,4.4,3.0599999999999996,6.983486011624336,1.0,4.742415681481361,2.241070330142975,1.3947229981422424,2,2
tail,passive_1,recast,reappear,released_inventory,2,2.94,3.01,2.9749999999999996,2.9299999999999997,8.908041598275304,1.0,6.68676370382309,2.2212778944522142,0.24612176418304443,2,2
tail,passive_1,refund,clash,released_inventory,2,3.94,3.97,3.955,3.1500000000000004,12.551012110430747,1.0,7.271506291348487,5.27950581908226,0.421836256980896,2,2
tail,passive_1,reinstall,seep,released_inventory,2,2.76,2.79,2.775,2.55,14.773024521535262,1.0,4.417275689309463,10.3557488322258,2.099312424659729,2,3
tail,passive_1,rouse,lurk,released_inventory,2,3.1,3.1,3.1,2.5949999999999998,13.715995278209448,1.0,9.979425426572561,3.7365698516368866,1.5830199718475342,2,2
tail,passive_1,safeguard,blush,released_inventory,2,3.55,3.56,3.5549999999999997,2.63,5.992641884135082,1.0,5.88586677913554,0.10677510499954224,1.1981353163719177,3,2
tail,passive_1,scrub,thrive,released_inventory,2,3.69,3.73,3.71,3.01,17.166709570388775,1.0,13.276273874740582,3.8904356956481934,-1.3212813138961792,2,2
tail,passive_1,slander,glare,released_inventory,2,3.34,3.36,3.3499999999999996,2.5599999999999996,2.070764444768429,1.0,1.3227617368102074,0.7480027079582214,1.9117966294288635,3,1
tail,passive_1,smother,subside,released_inventory,2,2.85,2.88,2.865,3.0149999999999997,13.10250799357891,1.0,10.201934576034546,2.900573417544365,-0.5689433813095093,2,2
tail,passive_1,spice,pee,released_inventory,2,3.94,3.96,3.95,3.06,7.89634408056736,1.0,8.337372079491615,-0.44102799892425537,0.5969972610473633,2,2
tail,passive_1,stockpile,shudder,released_inventory,2,3.12,3.11,3.115,2.4800000000000004,10.439233900047839,1.0,5.08673030231148,5.352503597736359,-0.2675049304962158,3,2
tail,passive_1,stow,abstain,released_inventory,2,3.06,3.07,3.065,2.785,9.064544593915343,1.0,12.469800328835845,-3.4052557349205017,-0.3864736557006836,2,2
tail,passive_1,subjugate,collude,released_inventory,2,2.47,2.49,2.4800000000000004,2.715,7.962990428786725,1.0,2.921126003842801,5.041864424943924,1.214544653892517,3,2
tail,passive_1,subvert,persevere,released_inventory,2,2.95,2.96,2.955,2.635,8.230007735779509,1.0,3.1571235933806747,5.072884142398834,2.2158841490745544,2,3
tail,passive_1,tame,chuckle,released_inventory,2,3.56,3.52,3.54,3.03,8.000097095966339,1.0,6.120674252510071,1.8794228434562683,1.4913355112075806,2,1
tail,passive_1,trademark,bloom,released_inventory,2,3.89,3.93,3.91,2.7,13.039117639884353,1.0,8.499376630410552,4.539741009473801,1.554516226053238,2,2
tail,passive_1,transcend,concur,released_inventory,2,3.1,3.18,3.14,2.74,5.173957770690322,1.0,0.7936005052179098,4.380357265472412,1.0844117403030396,2,2
tail,passive_1,utter,creep,released_inventory,2,3.85,3.84,3.8449999999999998,3.165,13.576866626739502,1.0,7.0703125,6.506554126739502,3.328005611896515,1,1
tail,passive_1,whitewash,wane,released_inventory,2,2.81,2.83,2.8200000000000003,2.84,9.013476490974426,1.0,8.30880743265152,0.7046690583229065,-2.567941427230835,2,2
tail,passive_2,approximate,muse,released_inventory,2,3.64,3.59,3.615,2.675,5.7693562507629395,1.0,5.666280746459961,0.10307550430297852,0.0,1,2
tail,passive_2,audit,interact,released_inventory,2,4.04,4.05,4.045,3.12,7.517287950962782,1.0,4.5749240927398205,2.9423638582229614,0.0,2,2
tail,passive_2,awe,glow,released_inventory,2,3.8,3.91,3.855,2.63,11.91799971461296,1.0,10.306978315114975,1.6110213994979858,0.0,2,2
