paradigm,metric,removed_band,removed_good_lemma,removed_bad_lemma,baseline_difference,after_difference,sign_change
passive_2,mean_margin,xtail,gull,desist,1.7481153560315628,1.7221568305121844,0
passive_2,mean_margin,xtail,guzzle,commiserate,1.7481153560315628,1.753236236506928,0
passive_2,mean_margin,xtail,heft,hibernate,1.7481153560315628,1.7418114450423268,0
passive_2,mean_margin,xtail,immolate,vacillate,1.7481153560315628,1.7770156817017009,0
passive_2,mean_margin,xtail,incriminate,sulk,1.7481153560315628,1.7354546009126208,0
passive_2,mean_margin,xtail,lard,fizz,1.7481153560315628,1.7323837127460964,0
passive_2,mean_margin,xtail,lather,slouch,1.7481153560315628,1.6510141786112316,0
passive_2,mean_margin,xtail,lug,drool,1.7481153560315628,1.741098793912534,0
passive_2,mean_margin,xtail,mistrust,coexist,1.7481153560315628,1.7807776407168072,0
passive_2,mean_margin,xtail,mulch,bustle,1.7481153560315628,1.7111988006212382,0
passive_2,mean_margin,xtail,obviate,teem,1.7481153560315628,1.8355267530602228,0
passive_2,mean_margin,xtail,ogle,wallow,1.7481153560315628,1.7301949274023425,0
passive_2,mean_margin,xtail,outshine,gape,1.7481153560315628,1.6638758625759609,0
passive_2,mean_margin,xtail,perm,fawn,1.7481153560315628,1.8298649726321958,0
passive_2,mean_margin,xtail,pigeonhole,hitchhike,1.7481153560315628,1.7285344251146881,0
passive_2,mean_margin,xtail,placate,crackle,1.7481153560315628,1.7404694697839114,0
passive_2,mean_margin,xtail,prise,jut,1.7481153560315628,1.6764108047497972,0
passive_2,mean_margin,xtail,rearm,totter,1.7481153560315628,1.814100039628741,0
passive_2,mean_margin,xtail,recompense,leer,1.7481153560315628,1.7893653473988325,0
passive_2,mean_margin,xtail,redress,pant,1.7481153560315628,1.8170506825709065,0
passive_2,mean_margin,xtail,regale,writhe,1.7481153560315628,1.7430969244819972,0
passive_2,mean_margin,xtail,reproach,whiz,1.7481153560315628,1.750276354730783,0
passive_2,mean_margin,xtail,reprove,remonstrate,1.7481153560315628,1.6702343855737878,0
passive_2,mean_margin,xtail,resupply,slog,1.7481153560315628,1.8182391826520004,0
passive_2,mean_margin,xtail,shoo,quiver,1.7481153560315628,1.7397214309597953,0
passive_2,mean_margin,xtail,shoplift,eventuate,1.7481153560315628,1.8537799175627203,0
passive_2,mean_margin,xtail,stopper,quack,1.7481153560315628,1.7456194252460433,0
passive_2,mean_margin,xtail,suckle,defecate,1.7481153560315628,1.6403707849736566,0
passive_2,mean_margin,xtail,sunder,eavesdrop,1.7481153560315628,1.831040562197079,0
passive_2,mean_margin,xtail,swaddle,decamp,1.7481153560315628,1.8134262081502195,0
passive_2,mean_margin,xtail,tithe,putter,1.7481153560315628,1.687484976512482,0
passive_2,mean_margin,xtail,unlatch,burgeon,1.7481153560315628,1.7727451032367796,0
passive_2,mean_margin,xtail,wad,shimmer,1.7481153560315628,1.6742479751761312,0
passive_2,mean_margin,xtail,wag,bask,1.7481153560315628,1.795279994835096,0
passive_2,mean_margin,xtail,wallop,gloat,1.7481153560315628,1.7138722057701825,0
passive_2,accuracy,head,bet,appear,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,blame,struggle,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,celebrate,reply,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,confront,testify,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,crown,object,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,defend,participate,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,earn,occur,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,exhibit,proceed,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,hate,listen,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,host,exist,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,impose,emerge,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,include,happen,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,insure,vanish,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,introduce,arrive,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,lease,apologize,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,lend,opt,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,load,respond,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,measure,laugh,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,rate,result,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,rob,belong,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,score,remain,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,send,die,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,sum,compete,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,target,lie,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,thank,matter,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,head,upgrade,complain,0.040000000000000036,0.040000000000000036,0
passive_2,accuracy,xtail,blab,loll,0.040000000000000036,0.04081632653061229,0
