regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
tail,causative,bad_to_good,resid_post_layer_23,24,12,3.7057291865348816,4.476562519868215,1.112256773219343,-6.166666626930237,-2.460937480131785,-2.5494791865348816
tail,causative,good_to_bad,resid_post_layer_23,24,12,3.734374980131785,4.406249980131785,0.9632462832147595,2.5494791865348816,6.283854126930237,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_16,17,12,3.5989583134651184,4.328124980131785,1.1361952507021682,2.5494791865348816,6.14843753973643,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_22,23,12,3.619791646798452,4.296874980131785,0.9753698151849384,2.5494791865348816,6.169270833333333,6.166666626930237
tail,causative,bad_to_good,resid_post_layer_22,23,12,3.6197916666666665,4.291666666666667,0.9812117287458936,-6.166666626930237,-2.546875,-2.5494791865348816
tail,causative,good_to_bad,resid_post_layer_21,22,12,3.6302082737286887,4.291666607062022,0.9850297093565418,2.5494791865348816,6.17968746026357,6.166666626930237
tail,causative,bad_to_good,resid_post_layer_19,20,12,3.625,4.286458333333333,0.8888067743289835,-6.166666626930237,-2.5416666666666665,-2.5494791865348816
tail,causative,good_to_bad,resid_post_layer_20,21,12,3.617187519868215,4.283854186534882,0.9702800869727913,2.5494791865348816,6.166666666666667,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_19,20,12,3.619791646798452,4.281249980131785,0.9420097724498957,2.5494791865348816,6.169270793596904,6.166666626930237
tail,causative,bad_to_good,resid_post_layer_16,17,12,3.5885416865348816,4.276041686534882,0.7882649905451906,-6.166666626930237,-2.578124980131785,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_21,22,12,3.6354166666666665,4.276041666666667,0.9110502001431092,-6.166666626930237,-2.53125,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_20,21,12,3.606770853201548,4.273437519868215,0.897300350568751,-6.166666626930237,-2.5598958134651184,-2.5494791865348816
tail,inchoative,good_to_bad,resid_post_layer_23,24,13,3.4519231136028585,3.692307765667255,1.0965243436280756,-2.6971154029552755,0.7548077289874737,0.3221153662754939
tail,inchoative,bad_to_good,resid_post_layer_23,24,13,3.120192261842581,3.5432692215992856,1.0840657844560668,-0.3221153662754939,2.7980768772271962,2.6971154029552755
tail,inchoative,good_to_bad,resid_post_layer_22,23,13,3.024038498218243,3.3317308059105506,1.0030594636219354,-2.6971154029552755,0.32692309526296764,0.3221153662754939
tail,inchoative,good_to_bad,resid_post_layer_21,22,13,3.0288461538461537,3.326923076923077,0.9983019117634502,-2.6971154029552755,0.33173075089087856,0.3221153662754939
tail,inchoative,bad_to_good,resid_post_layer_22,23,13,3.01442303107335,3.3221153754454393,0.993969929356286,-0.3221153662754939,2.6923076647978563,2.6971154029552755
tail,inchoative,bad_to_good,resid_post_layer_21,22,13,3.0144230219034047,3.322115366275494,0.9976279085019057,-0.3221153662754939,2.69230763728802,2.6971154029552755
