regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
tail,drop_argument,bad_to_good,resid_post_layer_23,24,12,2.809895873069763,5.361979126930237,1.008882182107932,2.151041626930237,4.960937519868215,4.997395813465118
tail,drop_argument,good_to_bad,resid_post_layer_18,19,12,2.830729146798452,5.289062480131785,1.013953834970523,-4.997395813465118,-2.1666666666666665,-2.151041626930237
tail,drop_argument,bad_to_good,resid_post_layer_22,23,12,2.8567708333333335,5.2734375,1.0024333296655308,2.151041626930237,5.0078125,4.997395813465118
tail,drop_argument,good_to_bad,resid_post_layer_19,20,12,2.8567707935969033,5.27343746026357,1.0035815666386778,-4.997395813465118,-2.140625019868215,-2.151041626930237
tail,drop_argument,bad_to_good,resid_post_layer_20,21,12,2.84375,5.270833333333333,0.9991004626684941,2.151041626930237,4.9947916467984514,4.997395813465118
tail,drop_argument,bad_to_good,resid_post_layer_18,19,12,2.8515624602635703,5.268229126930237,0.9982500647570921,2.151041626930237,5.002604126930237,4.997395813465118
tail,drop_argument,bad_to_good,resid_post_layer_19,20,12,2.8463542064030967,5.263020873069763,0.9969888791704099,2.151041626930237,4.997395873069763,4.997395813465118
tail,drop_argument,bad_to_good,resid_post_layer_21,22,12,2.846354126930237,5.263020793596904,0.9985080260203771,2.151041626930237,4.997395793596904,4.997395813465118
tail,drop_argument,good_to_bad,resid_post_layer_20,21,12,2.846354126930237,5.263020793596904,1.004398415696558,-4.997395813465118,-2.1510416865348816,-2.151041626930237
tail,drop_argument,good_to_bad,resid_post_layer_22,23,12,2.846354126930237,5.263020793596904,1.0000000080478852,-4.997395813465118,-2.151041626930237,-2.151041626930237
tail,drop_argument,good_to_bad,resid_post_layer_21,22,12,2.8463541666666665,5.263020753860474,0.9960561492175569,-4.997395813465118,-2.1510416865348816,-2.151041626930237
xtail,drop_argument,good_to_bad,resid_post_layer_23,24,9,2.3715278572506375,4.031250026490953,0.9841306569081036,-5.8541666401757135,-3.482638782925076,-3.572916719648573
xtail,drop_argument,bad_to_good,resid_post_layer_23,24,9,2.388888782925076,3.999999894036187,0.8393333453993309,3.572916719648573,5.961805502573649,5.8541666401757135
xtail,drop_argument,bad_to_good,resid_post_layer_21,22,9,2.2847221427493625,3.958333200878567,1.0284821717376817,3.572916719648573,5.857638862397936,5.8541666401757135
xtail,drop_argument,good_to_bad,resid_post_layer_19,20,9,2.295138862397936,3.954861137602064,1.031793274211335,-5.8541666401757135,-3.5590277777777777,-3.572916719648573
xtail,drop_argument,good_to_bad,resid_post_layer_18,19,9,2.263888862397936,3.9513889153798423,1.0458286756166826,-5.8541666401757135,-3.5902777777777777,-3.572916719648573
xtail,drop_argument,good_to_bad,resid_post_layer_20,21,9,2.309027804268731,3.940972195731269,1.0134506872496307,-5.8541666401757135,-3.5451388359069824,-3.572916719648573
xtail,drop_argument,bad_to_good,resid_post_layer_20,21,9,2.267361111111111,3.9340277777777777,1.0239162391335892,3.572916719648573,5.8402778307596845,5.8541666401757135
xtail,drop_argument,bad_to_good,resid_post_layer_18,19,9,2.2534721427493625,3.92708330684238,1.032348695905584,3.572916719648573,5.826388862397936,5.8541666401757135
xtail,drop_argument,bad_to_good,resid_post_layer_22,23,9,2.288194391462538,3.9201388359069824,1.001133767581928,3.572916719648573,5.861111111111111,5.8541666401757135
xtail,drop_argument,good_to_bad,resid_post_layer_21,22,9,2.31249992052714,3.9166666401757135,1.0014806852820488,-5.8541666401757135,-3.541666719648573,-3.572916719648573
xtail,drop_argument,bad_to_good,resid_post_layer_19,20,9,2.2361110051472983,3.9097221162584095,1.0237907179756869,3.572916719648573,5.809027724795872,5.8541666401757135
xtail,drop_argument,good_to_bad,resid_post_layer_22,23,9,2.2881944709353976,3.9062499735090466,0.9948057062288806,-5.8541666401757135,-3.565972169240316,-3.572916719648573
