control,seed,regime,subtask,clean_source_zipf_regime,clean_inventory_source,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
dummy_pair,17,low,inchoative,tail,freqblimp_curated,240,-3.4999999523162844,-3.4999999523162844,-3.4999999523162844,0.0,0.0,0.0,nan,0.0
dummy_pair,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,3.4617805257975625,3.4617805257975625,3.4617805257975625,0.0,0.0,0.0,nan,1.0
dummy_pair,17,low,inchoative,xtail,freqblimp_curated,20,-3.4999999523162844,-3.4999999523162844,-3.4999999523162844,0.0,0.0,0.0,nan,0.0
dummy_pair,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,3.564116334093028,3.564116334093028,3.564116334093028,0.0,0.0,0.0,nan,1.0
none,17,head,causative,head,freqblimp_curated,196,-2.5982142808486004,10.07743243173677,2.5982142808486004,12.675646721100321,11.758076565606254,13.596739475824394,3.1375684526703216,0.9948979591836735
none,17,head,inchoative,head,freqblimp_curated,67,-4.5830223845012155,7.245860546382506,-0.7747201207858413,11.828882929104477,10.819306344696969,12.818359375,3.677884765806634,0.9850746268656716
none,17,head,inchoative,head,supplemental_v2_bad_verbs,49,1.9464285325030892,14.514668367346939,5.379464280848601,12.568239795918368,11.728475745843381,13.425701540343615,4.454931168620935,1.0
none,17,low,causative,low_gap,freqblimp_curated,20,-0.2125,11.021875,4.878124988079071,11.234375,9.471875,13.0453125,2.8696247407953024,1.0
none,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.603422596341088,8.314732142857142,-1.1860119274684362,12.918154761904763,11.626488095238095,14.142857142857142,4.717161533227851,1.0
none,17,low,causative,tail,freqblimp_curated,276,-1.2838541692581729,12.828186041203098,4.113224645887596,14.112040206142094,13.379904853738172,14.80167613549666,2.839673024019373,0.9855072463768116
none,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.301100640176977,8.908018878420943,0.9500786178516891,13.209119495355859,12.296776726560772,14.04186320754717,2.346325907995997,0.949685534591195
none,17,low,causative,xtail,freqblimp_curated,20,-1.793749988079071,10.530468845367432,3.3937500059604644,12.324218773841858,10.889062523841858,13.7671875,2.1380126551636507,1.0
