lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
vonop,1,1,0.9460228085517883,0.15662147104740143,0.7894013375043869,0.05859924107789993,0.06670979410409927,0.0033434955403208733,0.3592202663421631,2,"['Ġvon', 'op']",shirt,inanimate
voocket,1,1,0.9250049591064453,0.03539878875017166,0.8896061703562737,0.04763283580541611,0.02600770816206932,0.0038618426769971848,0.7086984515190125,2,"['Ġvo', 'ocket']",chef,animate
voockip,1,1,0.7680808305740356,0.1256805807352066,0.642400249838829,0.01171831227838993,0.0022458527237176895,0.003538300981745124,0.015623674727976322,3,"['Ġvo', 'ock', 'ip']",driver,animate
voockle,1,1,0.4524601101875305,0.005379302427172661,0.44708080776035786,0.027485528960824013,0.004153851419687271,0.03326132521033287,0.7680376172065735,3,"['Ġvo', 'ock', 'le']",paper,inanimate
voockum,1,1,0.9141426682472229,0.3396134674549103,0.5745292007923126,0.04844503104686737,0.06363336741924286,0.0045500146225094795,0.12373659759759903,3,"['Ġvo', 'ock', 'um']",chef,animate
votup,1,1,0.9861071109771729,0.15215954184532166,0.8339475691318512,0.07637634873390198,0.07717625051736832,0.0010760340373963118,0.43002989888191223,2,"['Ġvot', 'up']",chef,animate
voxev,1,1,0.9347326159477234,0.1740635335445404,0.760669082403183,0.023705391213297844,0.0007507160189561546,0.0016552218003198504,0.003562169149518013,2,"['Ġvox', 'ev']",student,animate
zeble,1,1,0.9350597262382507,0.025102175772190094,0.9099575504660606,0.03265852481126785,0.018075410276651382,0.002268147189170122,0.7019980549812317,2,"['Ġze', 'ble']",driver,animate
zezet,1,1,0.7914046049118042,0.06741681694984436,0.7239877879619598,0.0477728396654129,0.03190400451421738,0.01259178388863802,0.44133108854293823,2,"['Ġze', 'zet']",box,inanimate
zumum,1,1,0.8395103812217712,0.04165147617459297,0.7978589050471783,0.04045093432068825,0.00209601828828454,0.0077330246567726135,0.04822676628828049,2,"['Ġzum', 'um']",student,animate
zuven,1,1,0.5273774266242981,0.01655387692153454,0.5108235497027636,0.021580735221505165,0.0004845606745220721,0.019340118393301964,0.028787171468138695,2,"['Ġzu', 'ven']",shirt,inanimate
