lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
pleeshop,0.9292077235877514,moves,0.97616046667099,0.0469527430832386,14.826776027679443,aligns,12.672266960144043,-2.1545090675354004,-14.826776027679443,3,"['Ġple', 'es', 'hop']",box,inanimate
sezip,0.618366152048111,moves,0.999005138874054,0.380638986825943,7.236508369445801,aligns,16.98699951171875,9.75049114227295,-7.236508369445801,2,"['Ġse', 'zip']",student,animate
skaickle,0.9161371439695358,moves,0.9603853821754456,0.04424823820590973,12.672975480556488,aligns,11.910384178161621,-0.7625913023948669,-12.672975480556488,3,"['Ġska', 'ick', 'le']",box,inanimate
skaickop,0.3387959599494934,moves,0.9895327091217041,0.6507367491722107,3.4541001319885254,aligns,9.39502239227295,5.940922260284424,-3.4541001319885254,3,"['Ġska', 'ick', 'op']",student,animate
skaickum,0.5609927177429199,moves,0.6924400925636292,0.13144737482070923,4.138259649276733,aligns,3.3539562225341797,-0.7843034267425537,-4.138259649276733,3,"['Ġska', 'ick', 'um']",shirt,inanimate
sugop,0.3024468421936035,moves,0.9989334344863892,0.6964865922927856,5.494154453277588,aligns,9.928362846374512,4.434208393096924,-5.494154453277588,2,"['Ġsug', 'op']",driver,animate
tekom,0.9006194621324539,moves,0.9730321764945984,0.07241271436214447,6.7560954093933105,aligns,3.162327289581299,-3.5937681198120117,-6.7560954093933105,2,"['Ġte', 'kom']",chef,animate
texev,0.6535585820674896,moves,0.9461331367492676,0.29257455468177795,3.2483932971954346,aligns,6.518836975097656,3.2704436779022217,-3.2483932971954346,2,"['Ġtex', 'ev']",student,animate
texom,0.5480010807514191,moves,0.7999018430709839,0.2519007623195648,1.8061777651309967,aligns,1.807252287864685,0.0010745227336883545,-1.8061777651309967,2,"['Ġtex', 'om']",paper,inanimate
tobiv,0.5878166854381561,moves,0.771334707736969,0.18351802229881287,2.717460870742798,aligns,1.9758384227752686,-0.7416224479675293,-2.717460870742798,2,"['Ġtob', 'iv']",paper,inanimate
tozip,0.9405425256118178,moves,0.9503759741783142,0.009833448566496372,13.465450763702393,aligns,7.152524471282959,-6.312926292419434,-13.465450763702393,2,"['Ġto', 'zip']",shirt,inanimate
vedev,0.8416837304830551,moves,0.9149792194366455,0.0732954889535904,6.977406024932861,aligns,5.872498512268066,-1.104907512664795,-6.977406024932861,2,"['Ġved', 'ev']",driver,animate
vedup,0.9002677425742149,moves,0.9906659126281738,0.09039817005395889,11.866578578948975,aligns,10.410720825195312,-1.455857753753662,-11.866578578948975,2,"['Ġved', 'up']",student,animate
vefet,0.4355863928794861,moves,0.9979574680328369,0.5623710751533508,5.5484771728515625,aligns,10.421725273132324,4.873248100280762,-5.5484771728515625,2,"['Ġve', 'fet']",driver,animate
veket,0.862072303891182,moves,0.9850538372993469,0.12298153340816498,8.764549136161804,aligns,8.99655818939209,0.23200905323028564,-8.764549136161804,2,"['Ġve', 'ket']",box,inanimate
vezev,0.6325332224369049,moves,0.9545027613639832,0.32196953892707825,3.1106085777282715,aligns,5.193453311920166,2.0828447341918945,-3.1106085777282715,2,"['Ġvez', 'ev']",student,animate
vezop,0.5296407639980316,moves,0.9976412653923035,0.46800050139427185,7.391485691070557,aligns,13.520264625549316,6.12877893447876,-7.391485691070557,2,"['Ġvez', 'op']",chef,animate
vidiv,0.7153365463018417,moves,0.8718851804733276,0.1565486341714859,4.84239661693573,aligns,5.519999980926514,0.6776033639907837,-4.84239661693573,2,"['Ġvid', 'iv']",shirt,inanimate
viget,0.9607096929103136,moves,0.9848393797874451,0.024129686877131462,14.971349477767944,aligns,11.543498992919922,-3.4278504848480225,-14.971349477767944,2,"['Ġvig', 'et']",shirt,inanimate
vilom,0.6824490129947662,moves,0.9951879382133484,0.31273892521858215,5.715410947799683,aligns,7.7594780921936035,2.044067144393921,-5.715410947799683,2,"['Ġvil', 'om']",student,animate
vizop,0.7959346622228622,moves,0.9787271618843079,0.18279249966144562,5.102227091789246,aligns,6.17399787902832,1.0717707872390747,-5.102227091789246,2,"['Ġviz', 'op']",box,inanimate
