lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
mulom,1,1,0.9752556681632996,0.1424611657857895,0.8327945023775101,0.5669993758201599,0.04340071231126785,0.014386001974344254,0.26124870777130127,2,"['Ġmul', 'om']",chef,animate
navip,1,1,0.9520725011825562,0.1488248109817505,0.8032476902008057,0.06525721400976181,0.0006234109168872237,0.0032850601710379124,0.0035654802341014147,2,"['Ġnav', 'ip']",box,inanimate
negiv,1,1,0.8934482336044312,0.1299675852060318,0.7634806483983994,0.04781492426991463,0.023377852514386177,0.0057023619301617146,0.15649662911891937,2,"['Ġneg', 'iv']",paper,inanimate
nexev,1,1,0.9446350932121277,0.12213625758886337,0.8224988356232643,0.00639289990067482,0.0001265253231395036,0.0003746869333554059,0.0009094105334952474,2,"['Ġnex', 'ev']",student,animate
nexip,1,1,0.9917124509811401,0.2957548499107361,0.695957601070404,0.1346697062253952,0.0014082510024309158,0.0011254048440605402,0.003353297244757414,2,"['Ġnex', 'ip']",driver,animate
noviv,1,1,0.759105920791626,0.06671076267957687,0.6923951581120491,0.012149089016020298,0.006785000208765268,0.003855382092297077,0.09492272883653641,2,"['Ġnov', 'iv']",paper,inanimate
nudup,1,1,0.9949199557304382,0.05059690773487091,0.9443230479955673,0.6137135624885559,0.009927052073180676,0.0031335989478975534,0.18627174198627472,2,"['Ġnud', 'up']",shirt,inanimate
pefet,1,1,0.9816675186157227,0.1270594596862793,0.8546080589294434,0.7880180478096008,0.06560688465833664,0.014716100879013538,0.4507410228252411,2,"['Ġpe', 'fet']",shirt,inanimate
pleeshop,1,1,0.97616046667099,0.0469527430832386,0.9292077235877514,0.8215689659118652,0.03438049554824829,0.0200641006231308,0.6978556513786316,3,"['Ġple', 'es', 'hop']",box,inanimate
sezip,1,1,0.999005138874054,0.380638986825943,0.618366152048111,0.9442244172096252,0.2820642292499542,0.0009403143776580691,0.45896396040916443,2,"['Ġse', 'zip']",student,animate
skaickle,1,1,0.9603853821754456,0.04424823820590973,0.9161371439695358,0.8102216720581055,0.032059021294116974,0.03342057019472122,0.6924675107002258,3,"['Ġska', 'ick', 'le']",box,inanimate
skaickop,1,1,0.9895327091217041,0.6507367491722107,0.3387959599494934,0.8827322721481323,0.295787513256073,0.009337550960481167,0.15875498950481415,3,"['Ġska', 'ick', 'op']",student,animate
skaickum,1,1,0.6924400925636292,0.13144737482070923,0.5609927177429199,0.11278846859931946,0.012334815226495266,0.050097059458494186,0.08150361478328705,3,"['Ġska', 'ick', 'um']",shirt,inanimate
sugop,1,1,0.9989334344863892,0.6964865922927856,0.3024468421936035,0.9477410912513733,0.4046712815761566,0.0010119283106178045,0.1763467639684677,2,"['Ġsug', 'op']",driver,animate
tekom,1,1,0.9730321764945984,0.07241271436214447,0.9006194621324539,0.638062059879303,0.043975453823804855,0.017684049904346466,0.5633136630058289,2,"['Ġte', 'kom']",chef,animate
texev,1,1,0.9461331367492676,0.29257455468177795,0.6535585820674896,0.06883011758327484,0.0021210117265582085,0.003918748814612627,0.005128462798893452,2,"['Ġtex', 'ev']",student,animate
texom,1,1,0.7999018430709839,0.2519007623195648,0.5480010807514191,0.25642871856689453,0.04286470264196396,0.06414653360843658,0.12730033695697784,2,"['Ġtex', 'om']",paper,inanimate
tobiv,1,1,0.771334707736969,0.18351802229881287,0.5878166854381561,0.03840962424874306,0.013232930563390255,0.011386688798666,0.05887405201792717,2,"['Ġtob', 'iv']",paper,inanimate
tozip,1,1,0.9503759741783142,0.009833448566496372,0.9405425256118178,0.7739678025245667,0.0018855880480259657,0.04041285440325737,0.18986688554286957,2,"['Ġto', 'zip']",shirt,inanimate
vedev,1,1,0.9149792194366455,0.0732954889535904,0.8416837304830551,0.01883971318602562,3.384512092452496e-05,0.0017506059957668185,0.00042791751911863685,2,"['Ġved', 'ev']",driver,animate
vedup,1,1,0.9906659126281738,0.09039817005395889,0.9002677425742149,0.7911972999572754,0.0028428712394088507,0.007454701699316502,0.02860545553267002,2,"['Ġved', 'up']",student,animate
