split,pair_key,regime,subtask,template_id,context_id,subject,subject_class,direction,clean_side,corrupt_side,objective_clean_side,objective_corrupt_side,site,anchor_token_index,clean_verb,corrupt_verb,clean_source_zipf_regime,corrupt_source_zipf_regime,clean_inventory_source,corrupt_inventory_source,clean_suffix_lp,corrupt_suffix_lp,patched_suffix_lp,suffix_effect,signed_suffix_effect,clean_minus_corrupt_suffix_lp,signed_clean_minus_corrupt_suffix_lp,normalized_suffix_effect,clean_full_lp,corrupt_full_lp,patched_full_lp,full_effect,signed_full_effect,corrupt_prefix_lp,patched_prefix_lp,moves_toward_objective_clean
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|4|turn|cough,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,cough,turn,head,head,freqblimp_curated,freqblimp_curated,-16.845394134521484,-16.798099517822266,-16.821643829345703,-0.0235443115234375,0.0235443115234375,-0.04729461669921875,0.04729461669921875,0.4978222293918374,-42.205081939697266,-38.34528732299805,-38.36882781982422,-0.023540496826171875,0.023540496826171875,-21.54718780517578,-21.54718780517578,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|5|fold|compete,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,compete,fold,head,head,freqblimp_curated,freqblimp_curated,-18.358238220214844,-14.802974700927734,-14.849270820617676,-0.046296119689941406,0.046296119689941406,-3.5552635192871094,3.5552635192871094,0.013021853215320749,-46.155426025390625,-41.412662506103516,-41.45895767211914,-0.046295166015625,0.046295166015625,-26.60968780517578,-26.60968780517578,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|6|twist|smile,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,smile,twist,head,head,freqblimp_curated,freqblimp_curated,-20.650604248046875,-11.613410949707031,-11.4702730178833,0.14313793182373047,-0.14313793182373047,-9.037193298339844,9.037193298339844,-0.015838759568197493,-46.479042053222656,-38.56684875488281,-38.423709869384766,0.14313888549804688,-0.14313888549804688,-26.95343780517578,-26.95343780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|7|change|scream,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,scream,change,head,head,freqblimp_curated,freqblimp_curated,-18.114521026611328,-15.785211563110352,-15.8095064163208,-0.02429485321044922,0.02429485321044922,-2.3293094635009766,2.3293094635009766,0.01043006676061574,-44.09920883178711,-37.2073974609375,-37.231693267822266,-0.024295806884765625,0.024295806884765625,-21.42218780517578,-21.42218780517578,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|8|close|disappear,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,disappear,close,head,head,freqblimp_curated,freqblimp_curated,-17.738771438598633,-15.97645092010498,-15.946121215820312,0.03032970428466797,-0.03032970428466797,-1.7623205184936523,1.7623205184936523,-0.01721009542043598,-42.59845733642578,-39.27363586425781,-39.243309020996094,0.03032684326171875,-0.03032684326171875,-23.29718780517578,-23.29718780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|9|freeze|respond,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,respond,freeze,head,head,freqblimp_curated,freqblimp_curated,-22.936857223510742,-14.749774932861328,-14.717780113220215,0.03199481964111328,-0.03199481964111328,-8.187082290649414,8.187082290649414,-0.003907963607212674,-48.04654312133789,-39.609458923339844,-39.57746887207031,0.03199005126953125,-0.03199005126953125,-24.85968780517578,-24.85968780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|10|accelerate|struggle,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,struggle,accelerate,head,head,freqblimp_curated,freqblimp_curated,-18.8021297454834,-15.957710266113281,-15.984283447265625,-0.02657318115234375,0.02657318115234375,-2.844419479370117,2.844419479370117,0.009342215993482174,-45.66181564331055,-43.81739807128906,-43.843971252441406,-0.02657318115234375,0.02657318115234375,-27.85968780517578,-27.85968780517578,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|11|fade|die,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,die,fade,head,head,freqblimp_curated,freqblimp_curated,-23.7595272064209,-15.59129810333252,-15.51681137084961,0.07448673248291016,-0.07448673248291016,-8.168229103088379,8.168229103088379,-0.009119079734767353,-46.11921691894531,-43.419734954833984,-43.345245361328125,0.07448959350585938,-0.07448959350585938,-27.82843780517578,-27.82843780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|14|crack|complain,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,complain,crack,head,head,freqblimp_curated,freqblimp_curated,-22.046977996826172,-15.908425331115723,-15.95891284942627,-0.050487518310546875,0.050487518310546875,-6.138552665710449,6.138552665710449,0.008224661587179471,-47.71916580200195,-41.42436218261719,-41.474849700927734,-0.050487518310546875,0.050487518310546875,-25.51593780517578,-25.51593780517578,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|15|shrink|react,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,react,shrink,head,head,freqblimp_curated,freqblimp_curated,-19.789939880371094,-13.761098861694336,-13.705180168151855,0.05591869354248047,-0.05591869354248047,-6.028841018676758,6.028841018676758,-0.009275197897779995,-45.962127685546875,-38.68328857421875,-38.62736511230469,0.0559234619140625,-0.0559234619140625,-24.92218780517578,-24.92218780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|16|melt|testify,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,testify,melt,head,head,freqblimp_curated,freqblimp_curated,-21.702777862548828,-13.103172302246094,-13.072029113769531,0.0311431884765625,-0.0311431884765625,-8.599605560302734,8.599605560302734,-0.0036214670845282535,-44.62496566772461,-40.056610107421875,-40.02546691894531,0.0311431884765625,-0.0311431884765625,-26.95343780517578,-26.95343780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|17|burn|arrive,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,arrive,burn,head,head,freqblimp_curated,freqblimp_curated,-23.598587036132812,-12.813623428344727,-12.839286804199219,-0.025663375854492188,0.025663375854492188,-10.784963607788086,10.784963607788086,0.0023795514558769613,-43.395774841308594,-36.860809326171875,-36.886474609375,-0.025665283203125,0.025665283203125,-24.04718780517578,-24.04718780517578,1
train,head|causative|object_frame_overlay_subject_tomorrow_s01|overlay_subject_tomorrow_s01_doctor|20|open|lie,head,causative,object_frame_overlay_subject_tomorrow_s01,overlay_subject_tomorrow_s01_doctor,doctor,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,lie,open,head,head,freqblimp_curated,freqblimp_curated,-17.900829315185547,-17.3974666595459,-17.37338638305664,0.024080276489257812,-0.024080276489257812,-0.5033626556396484,0.5033626556396484,-0.047838822009268415,-42.13551330566406,-38.50715255737305,-38.48307418823242,0.024078369140625,-0.024078369140625,-21.10968780517578,-21.10968780517578,0
train,head|causative|object_frame_overlay_subject_tomorrow_s02|overlay_subject_tomorrow_s02_student|0|accelerate|testify,head,causative,object_frame_overlay_subject_tomorrow_s02,overlay_subject_tomorrow_s02_student,student,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,testify,accelerate,head,head,freqblimp_curated,freqblimp_curated,-24.134811401367188,-14.873172760009766,-14.866094589233398,0.0070781707763671875,-0.0070781707763671875,-9.261638641357422,9.261638641357422,-0.0007642460530429185,-50.74945831298828,-44.20656967163086,-44.199493408203125,0.007076263427734375,-0.007076263427734375,-29.33339500427246,-29.33339500427246,0
