regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,transitive,bad_to_good,resid_post_layer_20,21,19,3.920435855263158,5.1761924342105265,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_21,22,19,0.3512155633223684,4.6726331208881575,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_22,23,19,4.506578947368421,4.655427631578948,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_15,16,19,4.533305921052632,4.533305921052632,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_14,15,19,4.4282483552631575,4.513774671052632,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_13,14,19,3.407277960526316,3.52734375,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_12,13,19,2.443873355263158,2.532277960526316,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_11,12,19,2.344777960526316,2.3684210526315788,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_10,11,19,1.773900082236842,1.7880859375,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_08,9,19,1.5101639597039473,1.642590974506579,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_09,10,19,1.4152623226768093,1.544476960834704,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_07,8,19,1.205592105263158,1.4773848684210527,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_06,7,19,1.0304276315789473,1.424342105263158,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_04,5,19,0.7286184210526315,1.259046052631579,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_05,6,19,0.8106737638774671,1.2588163677014803,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_03,4,19,0.7508223684210527,1.230674342105263,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_01,2,19,0.7828947368421053,1.224095394736842,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_02,3,19,0.6827199835526315,1.062243009868421,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_00,1,19,0.5686741879111842,1.0407008120888157,-5.516447268034282,-0.19078951132924934
head,transitive,bad_to_good,resid_embed,0,19,0.22337582236842105,0.6112253289473685,-5.516447268034282,-0.19078951132924934
head,transitive,good_to_bad,resid_post_layer_21,22,19,5.9955797697368425,6.0044202302631575,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_22,23,19,5.518914473684211,5.6587171052631575,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_20,21,19,5.6206825657894735,5.6206825657894735,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_23,24,19,5.3090049342105265,5.3090049342105265,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_19,20,19,4.301141036184211,4.404142680921052,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_18,19,19,3.728926809210526,3.998046875,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_15,16,19,3.8704769736842106,3.9494243421052633,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_16,17,19,3.375411184210526,3.7596628289473686,0.19078951132924934,5.516447268034282
