model,pair_key,regime,subtask,template_id,source_idx,direction,clean_side,corrupt_side,clean_verb,corrupt_verb,clean_target,corrupt_target,anchor_token_index,site,site_index,attribution,corrupt_metric,clean_metric
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|10,head,drop_argument,drop_object_frame,10,bad_to_good,bad,good,disregard,compete, the,.,7,resid_post_layer_06,7,2.25,0.6875,7.8125
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|0,head,drop_argument,drop_object_frame,0,bad_to_good,bad,good,update,excel, the,.,7,resid_post_layer_07,8,7.46875,-2.375,7.53125
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|1,head,drop_argument,drop_object_frame,1,bad_to_good,bad,good,resolve,arise, the,.,7,resid_post_layer_07,8,0.97265625,-0.4375,7.6875
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|2,head,drop_argument,drop_object_frame,2,bad_to_good,bad,good,enter,speak, the,.,7,resid_post_layer_07,8,1.46875,1.75,4.875
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|3,head,drop_argument,drop_object_frame,3,bad_to_good,bad,good,cruise,agree, the,.,7,resid_post_layer_07,8,0.251953125,0.875,6.0
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|5,head,drop_argument,drop_object_frame,5,bad_to_good,bad,good,build,appear, the,.,7,resid_post_layer_07,8,1.875,-1.0,7.343749523162842
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|6,head,drop_argument,drop_object_frame,6,bad_to_good,bad,good,celebrate,prevail, the,.,7,resid_post_layer_07,8,4.78125,-4.0625,6.0625
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|9,head,drop_argument,drop_object_frame,9,bad_to_good,bad,good,arrive,refer, the,.,7,resid_post_layer_07,8,-0.9296875,6.187499523162842,-1.125
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|10,head,drop_argument,drop_object_frame,10,bad_to_good,bad,good,disregard,compete, the,.,7,resid_post_layer_07,8,2.203125,0.6875,7.8125
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|0,head,drop_argument,drop_object_frame,0,bad_to_good,bad,good,update,excel, the,.,7,resid_post_layer_08,9,8.1875,-2.375,7.53125
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|1,head,drop_argument,drop_object_frame,1,bad_to_good,bad,good,resolve,arise, the,.,7,resid_post_layer_08,9,1.3125,-0.4375,7.6875
EleutherAI/pythia-1.4b,head|drop_argument|drop_object_frame|2,head,drop_argument,drop_object_frame,2,bad_to_good,bad,good,enter,speak, the,.,7,resid_post_layer_08,9,0.8828125,1.75,4.875
