regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,inchoative,bad_to_good,resid_post_layer_14,15,18,3.425998263888889,4.054470486111111,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_15,16,18,3.3079427083333335,3.9676649305555554,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_13,14,18,3.366970486111111,3.943359375,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_12,13,18,3.522705078125,3.8644476996527777,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_16,17,18,3.1260850694444446,3.7962239583333335,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_10,11,18,3.3782552083333335,3.5327690972222223,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_11,12,18,3.1440972222222223,3.3871527777777777,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_09,10,18,3.212673611111111,3.3272569444444446,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_08,9,18,2.9600694444444446,3.078125,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_17,18,18,1.3009982638888888,3.0753038194444446,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_06,7,18,2.7852105034722223,2.8681098090277777,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_07,8,18,2.6634114583333335,2.8344184027777777,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_05,6,18,2.7325303819444446,2.7425130208333335,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_04,5,18,2.2523871527777777,2.3765190972222223,-0.3506944643126594,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_03,4,18,1.8463948567708333,2.0724419487847223,-0.3506944643126594,4.932291679912144
